marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,41409413,R2MTG1GCZLR2DK,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,As described.,31-08-2015
US,49668221,R2HBOEM8LE9928,B000068O48,734576678,"Hosa GPM-103 3.5mm TRS to 1/4"" TRS Adaptor",Electronics,5,0,0,N,Y,It works as advertising.,It works as advertising.,31-08-2015
US,12338275,R1P4RW1R9FDPEE,B000GGKOG8,614448099,Channel Master Titan 2 Antenna Preamplifier,Electronics,5,1,1,N,Y,Five Stars,Works pissa,31-08-2015
US,38487968,R1EBPM82ENI67M,B000NU4OTA,72265257,LIMTECH Wall charger + USB Hotsync & Charging Dock Cradle desktop Charger for Apple IPOD Shuffle 2nd Generation MP3 Player,Electronics,1,0,0,N,Y,One Star,Did not work at all.,31-08-2015
US,23732619,R372S58V6D11AT,B00JOQIO6S,308169188,Skullcandy Air Raid Portable Bluetooth Speaker,Electronics,5,1,1,N,Y,Overall pleased with the item,Works well. Bass is somewhat lacking but is present. Overall pleased with the item.,31-08-2015
US,21257820,R1A4514XOYI1PD,B008NCD2LG,976385982,Pioneer SP-BS22-LR Andrew Jones Designed Bookshelf Loudspeakers,Electronics,5,1,1,N,Y,Five Stars,The quality on these speakers is insanely good and doesn't sound muddy when adjusting bass. Very happy with these.,31-08-2015
US,3084991,R20D9EHB7N20V6,B00007FGUF,670878953,C2G/Cables to Go 03170 3.5mm F/F Stereo Coupler,Electronics,5,0,0,N,Y,Lifesaver,Wish I could give this product more than five stars. Lifesaver.,31-08-2015
US,8153674,R1WUTD8MVSROJU,B00M9V2RMM,508452933,COOLEAD-HDMI Switcher BOX,Electronics,5,0,0,N,Y,Five Stars,works great,31-08-2015
US,52246189,R1QCYLT25812DM,B00J3O9DYI,766372886,Philips Wireless Portable Speaker,Electronics,4,0,0,N,Y,Four Stars,Great sound and compact. Battery life seems good. Happy with this product.,31-08-2015
US,41463864,R904DQPBCEM7A,B00NS1A0E4,458130381,PlayStation 3 3D Glasses (Super Value 4 Pack),Electronics,4,0,0,N,Y,Four Stars,It works well~~~,31-08-2015
US,2781942,R1DGA6UQIVLKZ7,B007B5V092,152891509,"JVC HAFR201A Xtreme Xplosive Deep Bass Earbuds with Mic and Remote, Blue",Electronics,5,0,0,N,Y,Five Stars,Alll good,31-08-2015
US,707292,RLQT3V8SMNIBH,B00IODHGVG,717335277,Sylvania Alarm Clock Radio with CD Player and USB Charging,Electronics,5,0,0,N,Y,Five Stars,Love clock radio & CD player.  Easy to operate.,31-08-2015
US,31463514,R3T9GZS2TMXZGM,B0035PBHX6,249533961,Coby 8 GB 1.8-Inch Video MP3 Player with FM Radio,Electronics,1,0,0,N,Y,One Star,"Breaks very easily, and takes a while to load music",31-08-2015
US,33475055,R24HVAEYP5PLDN,B00K1JJWFO,635791633,"Diamond (Original) SRH77CA 144/440 MHz. Dual-Band High Gain Handheld Antenna Rx: 120~900 MHz. (Gain: 440 Mhz. 2.15 dBi, Max Power: 10 Watts, Length: 15"") SMA",Electronics,5,0,1,N,Y,Five Stars,Excellent gain in radio frequency reception over the stock antenna that came with the radio.,31-08-2015
US,16543871,R32KMAPNV5NJPJ,B00S3LJ5EA,659360184,Kingvom 8gb 50 Hours Continuous Playback Mp3 Player with Bluetooth Transmitter Hi-fi Music Player White,Electronics,5,0,0,N,Y,Five Stars,everything I expected for a great price,31-08-2015
