marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,52246189,R1QCYLT25812DM,B00J3O9DYI,766372886,Philips Wireless Portable Speaker,Electronics,4,0,0,N,Y,Four Stars,Great sound and compact. Battery life seems good. Happy with this product.,2015-08-31
US,15063505,R1IN2V953LWQ3Z,B00J3O9DYI,766372886,Philips Wireless Portable Speaker,Electronics,5,0,0,N,Y,Five Stars,Good sound and easy to operate. Happy I purchased it.,2015-08-30
US,28659554,RF5PFHEYI5E12,B00J3O9DYI,766372886,Philips Wireless Portable Speaker,Electronics,1,3,4,N,Y,Works great.. AT FIRST,"This is the second speaker I've purchased and once again I'm having the same issue as before. After a couple months of usage and charging, the charging piece on the device starts to loosen, eventually breaking within the device completely and not allowing for it to work anymore... I originally thought it was me, but now that I need to trash my second Philips in a year, I think its time to move on to another speaker brand.<br /><br />As for sound quality and overall product, I really enjoyed using this portable speaker. Better deal than most out there, but not worth it if I need to buy one every 5 months.",2015-08-23
US,153071,R3HDJM762LI55R,B00J3O9DYI,766372886,Philips Wireless Portable Speaker,Electronics,5,0,0,N,N,Bust the tunes,Take it with me to my jobs every day and it gets rattled around but keeps bustin the tunes.,2015-07-26
US,27381460,R36SESUWNK32X7,B00J3O9DYI,766372886,Philips Wireless Portable Speaker,Electronics,1,1,2,N,Y,Hated it!,Did not work at all!,2015-07-16
US,43221294,R37527MRGSOIR9,B00J3O9DYI,766372886,Philips Wireless Portable Speaker,Electronics,1,2,2,N,N,Manufacturing defect in charging port - breaks very easily,"Same problem as others.  Bought one of these for my dad.  After a couple months of use, the usb jack snapped off from the circuit board - can't charge it any more.<br /><br />I took it apart and found that the port was not attached very well to begin with.  Two small pads of solder and hot glue that didn't adequately hold the port in place.  Sound isn't bad, but the manufacturing quality isn't there. Steer clear, buy something else in this price range.",2015-07-12
US,38353526,R2774DF8LBRK7Z,B00J3O9DYI,766372886,Philips Wireless Portable Speaker,Electronics,5,1,2,N,Y,Surprisingly big sound with rich base from such a portable device.,"My primary reason for buying BT3500B/37 was the need for an above average portable Bluetooth speaker that could be used in conjunction with my iPhone or iPad. It had to be battery-operated, rechargeable and stereo sound -capable. I often listen to International radio broadcasts or watch online TV. I also stream music from my home media center.<br /><br />Prior to this purchase, I had tested quite a few mono speakers at a local brick and mortar store ( a well known national chain). Mono units typically produce a smaller, flatter sound, and I could not make myself sacrifice good sound quality for the size. Stereo units looked like the right way to go, but many lacked in quality. Sure, there are a lot of speakers out there that will easily break your bank, and they may be worth the expense and all... Personaly, I needed something on a reasonably priced without sacrificing quality. I need to add that I already own a couple of older non-Bluetooth speakers and iPod docks by Philps and Logitech. They produce much richer, fuller sound compared to BT3500B/37.  However, they are stationary and could not be operated without AC power.<br /><br />Regardless of its size or purpose, this Bluetooth speaker puts out a nice, round sound with decent highs and lows. base. You will appreciate the sound quality the most when using the speaker in a smaller room, such as a typical bedroom or a bathroom. It is loud enough when used outside, but you're going to lose some of the lows. The smartest thing about this speaker is that it can adjust its volume automatically when turned up too high to minimize and eliminate sound distortion.<br /><br />Overall, I am very pleased with the purchase.",2015-07-07
US,11140914,RNLARQJWV6QP3,B00J3O9DYI,766372886,Philips Wireless Portable Speaker,Electronics,5,2,2,N,Y,Great speaker!!!,"Love it! Got it for work. Bought it from warehouse deals for $45. Came in factory box but used. Can't go wrong! It plays highs and lows very clear. I have an audiophile at work that hates &#34;new age speakers&#34; but thinks this &#34;sounds great&#34;. Bluetooth works flawlessly and is much louder than using the headphone jack on my phone to input on the speaker. Overall, I love this product and am thinking about purchasing another one.",2015-07-05
US,16925662,R2V1YFWB15KX6H,B00J3O9DYI,766372886,Philips Wireless Portable Speaker,Electronics,3,0,0,N,Y,It does a fine job of amplifying my iPhone music,A lot thicker and heavier than I thought; It does a fine job of amplifying my iPhone music.,2015-07-05
US,14747460,R33NXQXKNJMFB8,B00J3O9DYI,766372886,Philips Wireless Portable Speaker,Electronics,1,2,2,N,Y,It broke quickly :(,"Sound isn't that great but it is okay for as long as it lasted.  Yeah, I bought two of them but one of them stopped charging after about a month of use.  During that month I used it only a handful of times.  :(",2015-07-04
