marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,41409413,R2MTG1GCZLR2DK,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,As described.,2015-08-31
US,18401753,R20IUYDSN46FX3,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Seemingly well-made and durable - longer and less expensive than competitors,"I recently bought this 5-meter-long network adapter antenna wire and it seems well-made and durable.  This antenna wire is longer and less expensive ($3.52 as of 8/15) than others sold here.  The wire IS thin compared to that attached to a TP-Link 9dB antenna I have but I don't know if the thinness makes much difference other than wire strength.  On the other hand, the wire is not unusually thinner than antenna wires attached to other network devices I have.<br /><br />--I think that RP-SMA-to-Cable TV Cable adapters exist.  Perhaps an antenna wire made with TV cable and a couple of those adapters would make an even better and less-expensive antenna wire -- But then maybe this thinner wire is a more efficient conductor of captured radio signals ??",2015-08-30
US,25027658,R2873B6T338EVD,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Good Cable,It'll carry a radio signal alright. and with an acceptable amount of loss for it's cable type.,2015-08-24
US,29110758,RXXO73KHDNP24,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,3,0,0,N,Y,It works,This is my second one - the first broke early on. When it works it is fine - perhaps it is a bit delicate?,2015-08-24
US,2028589,R15NDCBDZX4VGC,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Would do business with again!,Great!,2015-08-07
US,5711773,R2K0RAEP6UJH05,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Four Stars,It got the job done.,2015-08-03
US,6695718,R95MLKHPAJLI8,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Four Stars,Good cable,2015-08-02
US,8605816,RX1JB5MLLCILH,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,it is what it is,2015-07-23
US,3143210,R1TM7SXK2RGD6,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,SMA Extension cable,Fast delivery!!  And works great.,2015-07-18
US,52614676,R2SS86025NRZJE,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,seems to work just fine.,2015-07-17
